Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.597092866897583	0	9.296296296296296	0.7729124723966373	11.0	8.0	9.296296296296296	0.7729124723966373	1004	1004
0.9971702098846436	1	9.229357798165138	0.6858066638910371	11.0	8.0	9.229357798165138	0.6858066638910371	1006	2010
1.363074541091919	2	9.287037037037036	0.6673735963811996	11.0	8.0	9.287037037037036	0.6673735963811996	1003	3013
1.7418286800384521	3	9.333333333333334	0.8277591347639633	11.0	8.0	9.333333333333334	0.8277591347639633	1008	4021
2.1117470264434814	4	9.355140186915888	0.6870271382986581	11.0	8.0	9.355140186915888	0.6870271382986581	1001	5022
2.4771459102630615	5	9.36448598130841	0.7155485885065784	11.0	8.0	9.36448598130841	0.7155485885065784	1002	6024
2.8530218601226807	6	9.401869158878505	0.8072083320257639	11.0	8.0	9.401869158878505	0.8072083320257639	1006	7030
3.2100629806518555	7	9.314814814814815	0.7533646521039997	11.0	8.0	9.314814814814815	0.7533646521039997	1006	8036
3.57688570022583	8	9.324074074074074	0.7306605801614867	11.0	8.0	9.324074074074074	0.7306605801614867	1007	9043
3.9724907875061035	9	9.42056074766355	0.7616679088152968	11.0	8.0	9.42056074766355	0.7616679088152968	1008	10051
4.371662139892578	10	9.49056603773585	0.7037002339234535	11.0	8.0	9.49056603773585	0.7037002339234535	1006	11057
4.741921901702881	11	9.296296296296296	0.7729124723966373	11.0	8.0	9.296296296296296	0.7729124723966373	1004	12061
5.110456943511963	12	9.36448598130841	0.8133526251227879	11.0	8.0	9.36448598130841	0.8133526251227879	1002	13063
5.5131425857543945	13	9.351851851851851	0.785455928164759	11.0	8.0	9.351851851851851	0.785455928164759	1010	14073
5.910848140716553	14	9.429906542056075	0.698625480038533	11.0	8.0	9.429906542056075	0.698625480038533	1009	15082
6.295562028884888	15	9.42056074766355	0.7492972804795307	11.0	8.0	9.42056074766355	0.7492972804795307	1008	16090
6.657101631164551	16	9.373831775700934	0.7172554711906501	11.0	8.0	9.373831775700934	0.7172554711906501	1003	17093
7.04223108291626	17	9.229357798165138	0.797162715457925	11.0	8.0	9.229357798165138	0.797162715457925	1006	18099
7.418843746185303	18	9.443396226415095	0.7657797688143652	11.0	8.0	9.443396226415095	0.7657797688143652	1001	19100
7.800019025802612	19	9.452830188679245	0.8141678871845818	11.0	8.0	9.452830188679245	0.8141678871845818	1002	20102
8.181752920150757	20	9.392523364485982	0.733153594671222	11.0	8.0	9.392523364485982	0.733153594671222	1005	21107
8.65298867225647	21	9.383177570093459	0.7690856303342425	11.0	8.0	9.383177570093459	0.7690856303342425	1004	22111
9.212399244308472	22	9.314814814814815	0.7655565410590515	11.0	8.0	9.314814814814815	0.7655565410590515	1006	23117
9.58553695678711	23	9.342592592592593	0.6689133952280375	11.0	8.0	9.342592592592593	0.6689133952280375	1009	24126
9.98613429069519	24	9.287037037037036	0.6811064789482588	11.0	8.0	9.287037037037036	0.6811064789482588	1003	25129
10.374652862548828	25	9.373831775700934	0.7553344804178225	11.0	8.0	9.373831775700934	0.7553344804178225	1003	26132
10.76870059967041	26	9.305555555555555	0.6730023021992065	10.0	8.0	9.305555555555555	0.6730023021992065	1005	27137
11.148778915405273	27	9.305555555555555	0.7510281019219874	11.0	8.0	9.305555555555555	0.7510281019219874	1005	28142
11.552000999450684	28	9.392523364485982	0.8400824319343638	11.0	8.0	9.392523364485982	0.8400824319343638	1005	29147
11.925400257110596	29	9.373831775700934	0.7796879855930545	11.0	8.0	9.373831775700934	0.7796879855930545	1003	30150
12.368940353393555	30	9.373831775700934	0.7301691583037236	11.0	8.0	9.373831775700934	0.7301691583037236	1003	31153
12.79397463798523	31	9.305555555555555	0.7259519080762211	11.0	8.0	9.305555555555555	0.7259519080762211	1005	32158
13.197451829910278	32	9.324074074074074	0.7797044039095805	11.0	8.0	9.324074074074074	0.7797044039095805	1007	33165
13.553863286972046	33	9.333333333333334	0.73282810879294	11.0	8.0	9.333333333333334	0.73282810879294	1008	34173
13.871780157089233	34	9.287037037037036	0.7582988505704108	11.0	8.0	9.287037037037036	0.7582988505704108	1003	35176
14.235238790512085	35	9.355140186915888	0.7883774470640428	11.0	8.0	9.355140186915888	0.7883774470640428	1001	36177
14.759615421295166	36	9.268518518518519	0.8005377993421564	11.0	8.0	9.268518518518519	0.8005377993421564	1001	37178
15.322149515151978	37	9.392523364485982	0.7457920502153272	11.0	8.0	9.392523364485982	0.7457920502153272	1005	38183
15.731212854385376	38	9.355140186915888	0.7519735585006145	11.0	8.0	9.355140186915888	0.7519735585006145	1001	39184
16.173222064971924	39	9.42056074766355	0.7738408054012879	11.0	8.0	9.42056074766355	0.7738408054012879	1008	40192
