Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.157825946807861	0	-3775.5989010751646	90.61247687571904	-3684.9864241994455	-3866.2113779508836	1000.0	0.0	2000	2000
6.897228717803955	1	-4471.192971699532	102.65263312277875	-4368.540338576753	-4573.845604822311	1000.0	0.0	2000	4000
8.410825729370117	2	-5090.410126880858	23.309751650894214	-5067.100375229964	-5113.719878531752	1000.0	0.0	2000	6000
10.059404373168945	3	-5208.482832535341	263.43881490589956	-4945.044017629441	-5471.921647441241	1000.0	0.0	2000	8000
11.614102363586426	4	-5644.275239003529	87.27967122220252	-5556.995567781327	-5731.554910225732	1000.0	0.0	2000	10000
13.106993436813354	5	-6779.072406045995	530.4361981900474	-6248.636207855948	-7309.508604236043	1000.0	0.0	2000	12000
14.686487674713135	6	-6415.112314132786	172.8966079302195	-6242.215706202566	-6588.008922063005	1000.0	0.0	2000	14000
16.243000030517578	7	-7355.907741022302	60.33710569419327	-7295.570635328108	-7416.244846716495	1000.0	0.0	2000	16000
17.77584481239319	8	-7081.836012209018	605.0426048096797	-6476.793407399338	-7686.878617018698	1000.0	0.0	2000	18000
19.390789270401	9	-6723.310883084239	43.99794077875049	-6679.312942305489	-6767.30882386299	1000.0	0.0	2000	20000
20.893788814544678	10	-6887.621752739182	28.198722644276586	-6859.423030094905	-6915.820475383458	1000.0	0.0	2000	22000
22.35066270828247	11	-7834.980600185243	366.5053270159292	-7468.475273169314	-8201.485927201173	1000.0	0.0	2000	24000
23.99388098716736	12	-8111.565827404511	47.284844839683046	-8064.280982564827	-8158.850672244193	1000.0	0.0	2000	26000
25.58392357826233	13	-7943.228075069497	427.27240108671276	-7515.955673982785	-8370.50047615621	1000.0	0.0	2000	28000
27.159865140914917	14	-8672.233122855105	134.1972848047144	-8538.035838050391	-8806.43040765982	1000.0	0.0	2000	30000
28.73212170600891	15	-8434.228347717632	395.7209596558023	-8038.507388061829	-8829.949307373434	1000.0	0.0	2000	32000
30.290696382522583	16	-9218.21747783825	34.48523692872095	-9183.732240909529	-9252.70271476697	1000.0	0.0	2000	34000
31.831700563430786	17	-9912.569361689651	284.23479376535215	-9628.3345679243	-10196.804155455004	1000.0	0.0	2000	36000
33.36354446411133	18	-10292.792961292813	59.51707864662967	-10233.275882646183	-10352.310039939443	1000.0	0.0	2000	38000
