Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
0.7179145812988281	0	15.328358208955224	6.167773878633604	40.0	8.0	15.328358208955224	6.167773878633604	1027	1027	0.04802608
1.205369472503662	1	24.634146341463413	11.903588509068108	56.0	12.0	24.634146341463413	11.903588509068108	1010	2037	-0.0048850286
1.6375691890716553	2	40.84	18.440563982698578	85.0	18.0	40.84	18.440563982698578	1021	3058	-0.00760657
2.0502800941467285	3	57.833333333333336	33.380383460949034	176.0	35.0	57.833333333333336	33.380383460949034	1041	4099	-0.007928493
2.4548497200012207	4	69.06666666666666	38.215994324657075	181.0	25.0	69.06666666666666	38.215994324657075	1036	5135	0.015034637
2.842216968536377	5	69.0	40.05163334164205	187.0	29.0	69.0	40.05163334164205	1035	6170	-0.0036683322
3.2212984561920166	6	80.0	48.82307146925834	200.0	30.0	80.0	48.82307146925834	1040	7210	0.00776716
3.669780731201172	7	86.07692307692308	37.07883812481711	141.0	30.0	86.07692307692308	37.07883812481711	1119	8329	0.0036418978
4.082136392593384	8	113.77777777777777	38.95518159166385	175.0	44.0	113.77777777777777	38.95518159166385	1024	9353	0.0019542333
4.553870677947998	9	142.875	34.62815870068751	200.0	107.0	142.875	34.62815870068751	1143	10496	-0.0058253845
4.966038465499878	10	150.57142857142858	29.644836422733253	188.0	108.0	150.57142857142858	29.644836422733253	1054	11550	-0.0045604515
5.371357202529907	11	149.14285714285714	28.93553708024873	200.0	119.0	149.14285714285714	28.93553708024873	1044	12594	-0.023246724
